Nama Proyek,Biaya,Profit
Proyek 120,15,18
Proyek 121,14,17
Proyek 122,9,17
Proyek 123,8,10
Proyek 124,15,24
Proyek 125,4,5
Proyek 126,18,19
Proyek 127,3,7
Proyek 128,6,13
Proyek 129,16,24
Proyek 130,7,14
Proyek 131,2,5
Proyek 132,13,14
Proyek 133,13,18
Proyek 134,15,20
Proyek 135,14,23
Proyek 136,16,19
Proyek 137,7,12
Proyek 138,7,8
Proyek 139,19,28
Proyek 140,2,8
Proyek 141,2,3
Proyek 142,19,27
Proyek 143,17,26
Proyek 144,6,7
Proyek 145,17,19
Proyek 146,6,8
Proyek 147,20,22
Proyek 148,8,15
Proyek 149,4,14
Proyek 150,8,18
Proyek 151,20,21
Proyek 152,20,22
Proyek 153,14,24
Proyek 154,19,28
Proyek 155,11,16
Proyek 156,7,13
Proyek 157,8,13
Proyek 158,13,16
Proyek 159,10,18
Proyek 160,11,13
Proyek 161,1,9
Proyek 162,20,30
Proyek 163,4,6
Proyek 164,18,22
Proyek 165,17,22
Proyek 166,5,11
Proyek 167,3,7
Proyek 168,12,17
Proyek 169,6,14
Proyek 170,18,23
Proyek 171,20,29
Proyek 172,1,10
Proyek 173,10,12
Proyek 174,5,10
Proyek 175,4,6
Proyek 176,18,21
Proyek 177,9,14
Proyek 178,20,24
Proyek 179,11,15
Proyek 180,9,18
Proyek 181,16,21
Proyek 182,2,4
Proyek 183,14,19
Proyek 184,2,3
Proyek 185,11,14
Proyek 186,9,12
Proyek 187,15,24
Proyek 188,14,23
Proyek 189,1,3
Proyek 190,3,6
Proyek 191,18,19
Proyek 192,12,22
Proyek 193,18,21
Proyek 194,14,17
Proyek 195,2,7
Proyek 196,12,13
Proyek 197,12,16
Proyek 198,8,10
Proyek 199,12,21
Proyek 200,14,24
Proyek 201,5,9
Proyek 202,6,9
Proyek 203,14,15
Proyek 204,6,12
Proyek 205,14,18
Proyek 206,9,12
Proyek 207,4,11
Proyek 208,2,10
Proyek 209,8,12
Proyek 210,15,21
Proyek 211,10,14
Proyek 212,8,9
Proyek 213,7,14
Proyek 214,11,16
Proyek 215,3,8
Proyek 216,12,21
Proyek 217,13,22
Proyek 218,11,12
Proyek 219,4,9
Proyek 220,6,16
Proyek 221,9,10
Proyek 222,4,14
Proyek 223,14,20
Proyek 224,11,18
Proyek 225,20,29
Proyek 226,4,11
Proyek 227,19,23
Proyek 228,9,10
Proyek 229,14,15
Proyek 230,17,26
Proyek 231,7,13
Proyek 232,14,16
Proyek 233,11,21
Proyek 234,11,13
Proyek 235,10,19
Proyek 236,10,17
Proyek 237,11,18
Proyek 238,10,19
Proyek 239,5,9
Proyek 240,14,21
Proyek 241,6,16
Proyek 242,19,24
Proyek 243,13,22
Proyek 244,1,6
Proyek 245,10,14
Proyek 246,14,24
Proyek 247,20,26
Proyek 248,15,23
Proyek 249,15,19
Proyek 250,17,25
Proyek 251,6,8
Proyek 252,10,19
Proyek 253,20,26
Proyek 254,3,7
Proyek 255,10,14
Proyek 256,7,10
Proyek 257,1,2
Proyek 258,8,16
Proyek 259,20,22
Proyek 260,15,22
Proyek 261,19,23
Proyek 262,13,21
Proyek 263,13,17
Proyek 264,5,6
Proyek 265,4,11
Proyek 266,8,11
Proyek 267,17,25
Proyek 268,2,11
Proyek 269,8,10
Proyek 270,15,18
Proyek 271,15,24
Proyek 272,18,28
Proyek 273,11,19
Proyek 274,20,29
Proyek 275,14,23
Proyek 276,15,18
Proyek 277,16,24
Proyek 278,9,13
Proyek 279,9,18
Proyek 280,16,20
Proyek 281,9,17
Proyek 282,3,8
Proyek 283,8,13
Proyek 284,11,17
Proyek 285,18,20
Proyek 286,5,8
Proyek 287,8,15
Proyek 288,5,9
Proyek 289,3,10
Proyek 290,14,20
Proyek 291,18,26
Proyek 292,14,15
Proyek 293,7,14
Proyek 294,13,23
Proyek 295,1,11
Proyek 296,13,21
Proyek 297,1,7
Proyek 298,10,17
Proyek 299,14,23
Proyek 300,18,28
Proyek 301,8,16
Proyek 302,8,13
Proyek 303,14,22
Proyek 304,1,8
Proyek 305,11,18
Proyek 306,6,14
Proyek 307,5,15
Proyek 308,18,19
Proyek 309,13,23
Proyek 310,19,20
Proyek 311,3,10
Proyek 312,5,13
Proyek 313,6,7
Proyek 314,9,16
Proyek 315,11,15
Proyek 316,15,21
Proyek 317,11,18
Proyek 318,9,16
Proyek 319,9,11
Proyek 320,16,17
Proyek 321,18,19
Proyek 322,12,16
Proyek 323,3,4
Proyek 324,1,5
Proyek 325,7,8
Proyek 326,20,23
Proyek 327,8,11
Proyek 328,16,18
Proyek 329,19,23
Proyek 330,15,20
Proyek 331,12,15
Proyek 332,20,30
Proyek 333,4,7
Proyek 334,10,12
Proyek 335,19,20
Proyek 336,10,20
Proyek 337,13,20
Proyek 338,7,9
Proyek 339,19,23
Proyek 340,4,9
Proyek 341,20,22
Proyek 342,19,20
Proyek 343,12,21
Proyek 344,14,20
Proyek 345,3,12
Proyek 346,11,12
Proyek 347,14,22
Proyek 348,4,11
Proyek 349,12,20
Proyek 350,5,12
Proyek 351,6,15
Proyek 352,9,19
Proyek 353,18,26
Proyek 354,15,22
Proyek 355,19,24
Proyek 356,11,15
Proyek 357,3,8
Proyek 358,15,19
Proyek 359,15,25
Proyek 360,20,27
Proyek 361,11,12
Proyek 362,16,22
Proyek 363,6,14
Proyek 364,7,13
Proyek 365,9,15
Proyek 366,9,19
Proyek 367,9,18
Proyek 368,1,10
Proyek 369,7,9
Proyek 370,8,15
Proyek 371,16,25
Proyek 372,8,16
Proyek 373,16,24
Proyek 374,1,3
Proyek 375,10,14
Proyek 376,13,17
Proyek 377,10,20
Proyek 378,12,20
Proyek 379,18,27
Proyek 380,12,19
Proyek 381,18,24
Proyek 382,12,20
Proyek 383,9,14
Proyek 384,9,13
Proyek 385,4,8
Proyek 386,11,13
Proyek 387,18,21
Proyek 388,7,11
Proyek 389,16,21
Proyek 390,19,28
Proyek 391,20,25
Proyek 392,4,8
Proyek 393,10,14
Proyek 394,12,15
Proyek 395,10,11
Proyek 396,18,21
Proyek 397,9,10
Proyek 398,2,11
Proyek 399,10,13
Proyek 400,16,18
Proyek 401,1,11
Proyek 402,10,18
Proyek 403,16,24
Proyek 404,11,14
Proyek 405,2,7
Proyek 406,16,18
Proyek 407,3,10
Proyek 408,16,18
Proyek 409,19,20
Proyek 410,5,8
Proyek 411,19,24
Proyek 412,3,7
Proyek 413,4,13
Proyek 414,14,24
Proyek 415,20,30
Proyek 416,8,17
Proyek 417,13,21
Proyek 418,15,20
Proyek 419,19,26
Proyek 420,10,20
Proyek 421,20,21
Proyek 422,20,22
Proyek 423,7,11
Proyek 424,9,11
Proyek 425,6,10
Proyek 426,6,15
Proyek 427,3,6
Proyek 428,1,8
Proyek 429,15,25
Proyek 430,16,21
Proyek 431,2,6
Proyek 432,10,15
Proyek 433,15,17
Proyek 434,8,13
Proyek 435,19,23
Proyek 436,14,16
Proyek 437,18,22
Proyek 438,5,10
Proyek 439,5,7
Proyek 440,2,5
Proyek 441,10,20
Proyek 442,19,24
Proyek 443,15,17
Proyek 444,15,20
Proyek 445,13,18
Proyek 446,17,26
Proyek 447,16,24
Proyek 448,3,13
Proyek 449,2,9
Proyek 450,11,21
Proyek 451,9,10
Proyek 452,3,7
Proyek 453,19,29
Proyek 454,1,6
Proyek 455,19,20
Proyek 456,6,14
Proyek 457,17,25
Proyek 458,9,12
Proyek 459,19,26
Proyek 460,16,18
Proyek 461,16,22
Proyek 462,14,20
Proyek 463,11,13
Proyek 464,6,12
Proyek 465,14,22
Proyek 466,10,17
Proyek 467,18,19
Proyek 468,15,17
Proyek 469,11,16
Proyek 470,11,13
Proyek 471,13,22
Proyek 472,1,10
Proyek 473,15,22
Proyek 474,2,6
Proyek 475,17,23
Proyek 476,20,28
Proyek 477,15,16
Proyek 478,7,12
Proyek 479,18,21
Proyek 480,10,18
Proyek 481,16,18
Proyek 482,1,11
Proyek 483,8,11
Proyek 484,10,19
Proyek 485,1,10
Proyek 486,14,16
Proyek 487,8,10
Proyek 488,15,17
Proyek 489,5,13
Proyek 490,10,19
Proyek 491,9,16
Proyek 492,16,24
Proyek 493,8,16
Proyek 494,18,21
Proyek 495,13,17
Proyek 496,20,29
Proyek 497,5,7
Proyek 498,9,16
Proyek 499,11,20
Proyek 500,9,10
Proyek 501,10,15
Proyek 502,19,29
Proyek 503,16,19
Proyek 504,15,24
Proyek 505,16,22
Proyek 506,11,20
Proyek 507,18,25
Proyek 508,15,21
Proyek 509,7,11
Proyek 510,19,26
Proyek 511,8,15
Proyek 512,2,8
Proyek 513,16,23
Proyek 514,13,16
Proyek 515,16,17
Proyek 516,5,14
Proyek 517,19,25
Proyek 518,4,12
Proyek 519,4,13
Proyek 520,15,16
Proyek 521,5,12
Proyek 522,5,7
Proyek 523,16,21
Proyek 524,11,21
Proyek 525,13,15
Proyek 526,11,20
Proyek 527,13,19
Proyek 528,16,25
Proyek 529,2,12
Proyek 530,3,7
Proyek 531,10,14
Proyek 532,3,10
Proyek 533,4,6
Proyek 534,15,18
Proyek 535,10,11
Proyek 536,2,8
Proyek 537,2,7
Proyek 538,12,18
Proyek 539,14,17
Proyek 540,8,17
Proyek 541,14,24
Proyek 542,6,9
Proyek 543,6,8
Proyek 544,20,27
Proyek 545,20,24
Proyek 546,16,26
Proyek 547,5,9
Proyek 548,15,20
Proyek 549,15,20
Proyek 550,1,9
Proyek 551,10,19
Proyek 552,6,8
Proyek 553,15,21
Proyek 554,19,24
Proyek 555,14,19
Proyek 556,15,20
Proyek 557,7,14
Proyek 558,16,18
Proyek 559,8,15
Proyek 560,19,25
Proyek 561,19,24
Proyek 562,10,11
Proyek 563,13,18
Proyek 564,1,11
Proyek 565,2,12
Proyek 566,16,21
Proyek 567,8,18
Proyek 568,12,16
Proyek 569,7,17
Proyek 570,9,12
Proyek 571,4,5
Proyek 572,10,18
Proyek 573,2,12
Proyek 574,12,15
Proyek 575,3,8
Proyek 576,11,18
Proyek 577,6,10
Proyek 578,5,14
Proyek 579,12,21
Proyek 580,17,22
Proyek 581,6,11
Proyek 582,16,21
Proyek 583,11,13
Proyek 584,15,17
Proyek 585,5,9
Proyek 586,13,22
Proyek 587,12,14
Proyek 588,13,14
Proyek 589,9,18
Proyek 590,4,12
Proyek 591,12,17
Proyek 592,19,26
Proyek 593,12,14
Proyek 594,8,16
Proyek 595,1,11
Proyek 596,18,24
Proyek 597,20,24
Proyek 598,3,11
Proyek 599,10,17
Proyek 600,4,7
Proyek 601,2,3
Proyek 602,10,18
Proyek 603,4,6
Proyek 604,8,17
Proyek 605,5,12
Proyek 606,15,21
Proyek 607,18,25
Proyek 608,19,22
Proyek 609,14,16
Proyek 610,16,26
Proyek 611,14,19
Proyek 612,2,8
Proyek 613,7,15
Proyek 614,15,19
Proyek 615,12,14
Proyek 616,12,21
Proyek 617,12,13
Proyek 618,13,18
Proyek 619,7,9
Proyek 620,15,17
Proyek 621,7,17
Proyek 622,1,2
Proyek 623,11,15
Proyek 624,5,15
Proyek 625,7,9
Proyek 626,18,22
Proyek 627,19,23
Proyek 628,8,14
Proyek 629,5,15
Proyek 630,1,6
Proyek 631,5,8
Proyek 632,18,23
Proyek 633,6,8
Proyek 634,1,4
Proyek 635,1,7
Proyek 636,8,18
Proyek 637,11,12
Proyek 638,6,11
Proyek 639,2,5
Proyek 640,14,23
Proyek 641,4,6
Proyek 642,16,24
Proyek 643,12,21
Proyek 644,19,21
Proyek 645,15,24
Proyek 646,8,18
Proyek 647,2,11
Proyek 648,10,18
Proyek 649,1,2
Proyek 650,16,23
Proyek 651,14,16
Proyek 652,16,24
Proyek 653,3,5
Proyek 654,11,21
Proyek 655,5,7
Proyek 656,5,10
Proyek 657,20,30
Proyek 658,18,24
Proyek 659,13,23
Proyek 660,17,22
Proyek 661,15,24
Proyek 662,20,27
Proyek 663,4,6
Proyek 664,18,22
Proyek 665,14,22
Proyek 666,8,15
Proyek 667,11,19
Proyek 668,13,20
Proyek 669,4,10
Proyek 670,14,20
Proyek 671,9,15
Proyek 672,5,13
Proyek 673,3,5
Proyek 674,3,5
Proyek 675,14,16
Proyek 676,12,15
Proyek 677,18,19
Proyek 678,19,28
Proyek 679,18,24
Proyek 680,4,11
Proyek 681,12,19
Proyek 682,2,7
Proyek 683,20,25
Proyek 684,12,14
Proyek 685,19,28
Proyek 686,7,10
Proyek 687,16,20
Proyek 688,4,10
Proyek 689,18,24
Proyek 690,4,9
Proyek 691,19,23
Proyek 692,14,23
Proyek 693,20,30
Proyek 694,18,19
Proyek 695,20,25
Proyek 696,1,4
Proyek 697,9,14
Proyek 698,11,17
Proyek 699,1,4
Proyek 700,5,15
Proyek 701,13,15
Proyek 702,5,6
Proyek 703,3,12
Proyek 704,7,14
Proyek 705,14,22
Proyek 706,11,14
Proyek 707,12,17
Proyek 708,11,21
Proyek 709,20,22
Proyek 710,2,5
Proyek 711,6,16
Proyek 712,2,4
Proyek 713,9,17
Proyek 714,14,22
Proyek 715,20,28
Proyek 716,14,19
Proyek 717,7,16
Proyek 718,4,10
Proyek 719,14,16
Proyek 720,10,20
Proyek 721,16,25
Proyek 722,10,11
Proyek 723,8,15
Proyek 724,20,21
Proyek 725,1,5
Proyek 726,10,14
Proyek 727,5,10
Proyek 728,10,16
Proyek 729,4,5
Proyek 730,16,23
Proyek 731,6,9
Proyek 732,13,22
Proyek 733,8,17
Proyek 734,18,24
Proyek 735,3,10
Proyek 736,2,9
Proyek 737,1,9
Proyek 738,3,9
Proyek 739,19,26
Proyek 740,19,26
Proyek 741,14,19
Proyek 742,4,11
Proyek 743,1,7
Proyek 744,6,16
Proyek 745,15,21
Proyek 746,3,10
Proyek 747,4,8
Proyek 748,14,24
Proyek 749,13,22
Proyek 750,3,10
Proyek 751,10,16
Proyek 752,8,14
Proyek 753,6,8
Proyek 754,17,19
Proyek 755,17,26
Proyek 756,7,13
Proyek 757,12,15
Proyek 758,8,10
Proyek 759,5,10
Proyek 760,7,10
Proyek 761,20,23
Proyek 762,3,6
Proyek 763,16,24
Proyek 764,19,29
Proyek 765,15,25
Proyek 766,20,26
Proyek 767,11,14
Proyek 768,15,17
Proyek 769,16,24
Proyek 770,10,15
Proyek 771,19,20
Proyek 772,12,21
Proyek 773,3,8
Proyek 774,15,23
Proyek 775,2,3
Proyek 776,12,17
Proyek 777,3,5
Proyek 778,20,30
Proyek 779,17,24
Proyek 780,15,25
Proyek 781,18,19
Proyek 782,15,25
Proyek 783,7,13
Proyek 784,20,28
Proyek 785,17,20
Proyek 786,2,10
Proyek 787,4,10
Proyek 788,3,12
Proyek 789,6,7
Proyek 790,8,16
Proyek 791,15,24
Proyek 792,17,27
Proyek 793,6,12
Proyek 794,12,17
Proyek 795,13,20
Proyek 796,11,21
Proyek 797,2,8
Proyek 798,3,9
Proyek 799,4,13
Proyek 800,13,18
Proyek 801,9,19
Proyek 802,5,11
Proyek 803,3,13
Proyek 804,5,11
Proyek 805,10,17
Proyek 806,5,15
Proyek 807,3,8
Proyek 808,18,25
Proyek 809,11,14
Proyek 810,17,19
Proyek 811,14,23
Proyek 812,12,13
Proyek 813,12,17
Proyek 814,6,10
Proyek 815,11,19
Proyek 816,7,11
Proyek 817,5,8
Proyek 818,3,8
Proyek 819,4,13
Proyek 820,18,27
Proyek 821,2,8
Proyek 822,20,23
Proyek 823,20,27
Proyek 824,5,8
Proyek 825,6,16
Proyek 826,6,14
Proyek 827,2,9
Proyek 828,12,16
Proyek 829,15,25
Proyek 830,10,18
Proyek 831,8,17
Proyek 832,8,13
Proyek 833,16,20
Proyek 834,12,22
Proyek 835,15,23
Proyek 836,10,17
Proyek 837,17,26
Proyek 838,14,17
Proyek 839,7,17
Proyek 840,5,10
Proyek 841,2,10
Proyek 842,12,21
Proyek 843,4,13
Proyek 844,4,9
Proyek 845,3,6
Proyek 846,9,17
Proyek 847,17,20
Proyek 848,14,16
Proyek 849,8,16
Proyek 850,12,13
Proyek 851,14,15
Proyek 852,13,22
Proyek 853,12,16
Proyek 854,13,15
Proyek 855,12,16
Proyek 856,1,7
Proyek 857,4,10
Proyek 858,5,8
Proyek 859,2,7
Proyek 860,16,19
Proyek 861,16,24
Proyek 862,20,21
Proyek 863,3,4
Proyek 864,9,13
Proyek 865,5,14
Proyek 866,20,29
Proyek 867,14,16
Proyek 868,10,14
Proyek 869,10,12
Proyek 870,2,6
Proyek 871,14,24
Proyek 872,15,17
Proyek 873,4,12
Proyek 874,20,29
Proyek 875,1,10
Proyek 876,19,23
Proyek 877,5,10
Proyek 878,14,15
Proyek 879,20,26
Proyek 880,8,18
Proyek 881,14,17
Proyek 882,3,12
Proyek 883,12,14
Proyek 884,17,26
Proyek 885,17,26
Proyek 886,18,19
Proyek 887,13,21
Proyek 888,2,9
Proyek 889,12,17
Proyek 890,1,7
Proyek 891,3,9
Proyek 892,8,10
Proyek 893,19,25
Proyek 894,5,6
Proyek 895,12,21
Proyek 896,11,14
Proyek 897,15,23
Proyek 898,6,9
Proyek 899,3,11
Proyek 900,2,7
Proyek 901,7,8
Proyek 902,7,8
Proyek 903,11,16
Proyek 904,17,24
Proyek 905,18,26
Proyek 906,9,10
Proyek 907,7,12
Proyek 908,12,13
Proyek 909,11,16
Proyek 910,4,10
Proyek 911,14,21
Proyek 912,15,22
Proyek 913,11,14
Proyek 914,16,24
Proyek 915,12,21
Proyek 916,9,11
Proyek 917,14,16
Proyek 918,14,24
Proyek 919,6,15
Proyek 920,10,16
Proyek 921,4,6
Proyek 922,11,16
Proyek 923,10,18
Proyek 924,20,27
Proyek 925,6,14
Proyek 926,12,20
Proyek 927,2,8
Proyek 928,20,27
Proyek 929,9,10
Proyek 930,3,10
Proyek 931,12,21
Proyek 932,6,7
Proyek 933,5,15
Proyek 934,15,16
Proyek 935,5,7
Proyek 936,8,14
Proyek 937,12,19
Proyek 938,19,20
Proyek 939,20,23
Proyek 940,15,21
Proyek 941,12,20
Proyek 942,3,13
Proyek 943,5,14
Proyek 944,12,19
Proyek 945,11,16
Proyek 946,8,10
Proyek 947,1,4
Proyek 948,16,25
Proyek 949,13,22
Proyek 950,4,9
Proyek 951,9,17
Proyek 952,7,17
Proyek 953,10,18
Proyek 954,7,9
Proyek 955,5,7
Proyek 956,15,18
Proyek 957,15,17
Proyek 958,11,17
Proyek 959,3,12
Proyek 960,18,23
Proyek 961,10,13
Proyek 962,6,12
Proyek 963,17,21
Proyek 964,4,8
Proyek 965,5,9
Proyek 966,16,17
Proyek 967,12,21
Proyek 968,19,25
Proyek 969,15,24
Proyek 970,5,15
Proyek 971,3,5
Proyek 972,10,17
Proyek 973,16,25
Proyek 974,14,21
Proyek 975,19,21
Proyek 976,5,11
Proyek 977,3,11
Proyek 978,15,24
Proyek 979,12,15
Proyek 980,18,28
Proyek 981,6,9
Proyek 982,14,23
Proyek 983,2,4
Proyek 984,17,20
Proyek 985,10,13
Proyek 986,6,12
Proyek 987,8,14
Proyek 988,17,22
Proyek 989,3,8
Proyek 990,7,16
Proyek 991,9,12
Proyek 992,10,20
Proyek 993,18,20
Proyek 994,17,20
Proyek 995,19,29
Proyek 996,5,8
Proyek 997,20,30
Proyek 998,11,21
Proyek 999,2,3
Proyek 1000,3,4
